year,Atm,Nep,Min,Sed,Neptot,EntrEpi,EntrHyp,id
2000,-43.487281316971696,74.34996192579261,94.75571557707073,129.43963702478993,298.54531452765326,-24.14759446198288,44.9062178260587,BigMuskellunge
2001,-9.843713580871778,164.89919677647072,46.68916870859895,194.45584505855786,406.0442105436275,-47.43193824939603,53.343363773572825,BigMuskellunge
2002,-130.78781452109567,229.36037653491832,122.47793628563004,231.86164748904253,583.6999603095909,-20.87626175132867,32.22503562420736,BigMuskellunge
2003,22.57576711977945,29.76655227421579,132.12539880334418,177.75238687578567,339.64433795334566,-16.437083321860136,31.77830361914204,BigMuskellunge
2004,-66.40274262324749,149.053558718086,108.00363900071805,184.57690468176474,441.6341024005688,-36.56662832258295,47.64350775720831,BigMuskellunge
2005,-68.42046445958489,169.55568307019217,97.92096220047264,211.60634714581997,479.0829924164848,-36.16104095270498,32.834007994637446,BigMuskellunge
2006,-58.92396700267104,208.86419137893344,69.92358584250563,213.05935317156855,491.8471303930076,-43.72089762413762,49.109937876620975,BigMuskellunge
2007,-41.39711239487065,104.19694580665049,154.21556323913217,225.23664451780488,483.64915356358756,-32.83246556463182,43.66297578441895,BigMuskellunge
2008,5.0222333593212,67.6198536251424,111.84386179198366,190.90214452442845,370.3658599415545,-45.67953374427542,45.66484596223986,BigMuskellunge
2009,16.058878187040495,132.80460146434817,25.81028560333012,177.16384453429473,335.77873160197305,-64.98508328427653,58.11028415060587,BigMuskellunge
2010,48.326944443456654,48.517780598234545,83.86714327055428,173.08319778500945,305.4681216537983,-47.849396148107964,52.22254454676675,BigMuskellunge
2011,122.93769079195664,30.907023765060384,64.77738260128105,224.62727715817292,320.31168352451436,-46.742346477241554,49.7219857123986,BigMuskellunge
2012,40.242358461418206,28.166170781888276,192.63295609351567,254.10640997788326,474.90553685328723,-38.22396095154064,31.23624520453391,BigMuskellunge
2013,-14.055221686421387,22.779413252357898,205.3051348883457,216.31711432001424,444.40166246071783,-27.58121063159634,44.213198143592294,BigMuskellunge
2014,-27.494499495980374,96.02113036801587,147.01603588512302,217.97979792682037,461.01696417995925,-25.195544023403198,31.601707223575787,BigMuskellunge
2015,20.98160094351834,114.79529443646251,83.103189202302,212.2815224347095,410.18000607347403,-37.24464629359364,41.210571594210464,BigMuskellunge
2016,-41.10042397254569,139.90210967756357,85.82917609682545,192.08921227315395,417.82049804754297,-37.92401948098478,44.81701640495351,BigMuskellunge
2017,33.56756235713597,86.45124367652268,53.16268016463974,169.12824173457454,308.742165575737,-48.165672486895474,50.00532539787309,BigMuskellunge
2018,-37.029752935842865,120.47155926092591,66.55266117898327,156.17061592575055,343.19483636565974,-26.79180734621595,58.28064149581045,BigMuskellunge
2019,70.52247005317618,18.911367067529408,3.395281856539009,146.52487092801536,168.83151985208377,-26.284913053681425,48.10531985421289,BigMuskellunge
1996,145.72203702162952,-127.47116623495376,366.8479457560796,374.9309757724941,614.30775529362,19.188305466166085,-4.977500614650522,Crystal
1997,37.0829185864192,-7.59344365145054,375.0894033802456,407.07679416358985,774.572753892385,21.570754805344787,-10.390779622306695,Crystal
1998,135.41151438904765,-102.81837974701034,369.78306417406463,396.26120835916936,663.2258927862237,22.865118820821092,-17.003623221248656,Crystal
1999,59.197931466129795,-122.70071753714974,445.41163098712946,380.37587651693497,703.0867899669147,39.97672896213255,-30.09047203671413,Crystal
