obsdata,simdata,id,type
10146.6666666667,8616.510916134719,Allequash,Epilimnion
9690.476190476189,8214.943616437235,Allequash,Epilimnion
8100,7698.182523139452,Allequash,Epilimnion
8461.90476190476,8215.685155638876,Allequash,Epilimnion
7728.57142857143,7357.721309130746,Allequash,Epilimnion
7938.46153846154,7621.854226972283,Allequash,Epilimnion
9371.42857142857,8001.04459585765,Allequash,Epilimnion
8861.904761904761,7757.631180398349,Allequash,Epilimnion
8038.095238095239,9479.156047227254,Allequash,Epilimnion
13300,11599.853602191522,Allequash,Epilimnion
11290.4761904762,9779.084606116949,Allequash,Epilimnion
9652.38095238095,10082.39077337045,Allequash,Epilimnion
9623.80952380952,9116.696426585484,Allequash,Epilimnion
9146.66666666667,8303.347596995767,Allequash,Epilimnion
9061.90476190476,8636.439931956604,Allequash,Epilimnion
9100,7809.641025060377,Allequash,Epilimnion
8590.47619047619,8496.195918294672,Allequash,Epilimnion
8500,7982.872277586845,Allequash,Epilimnion
9428.571428571431,8180.327716595049,Allequash,Epilimnion
8573.33333333333,8261.3749159471,Allequash,Epilimnion
7800,9284.257860159198,Allequash,Epilimnion
9928.571428571431,9766.381449535147,Allequash,Epilimnion
10671.4285714286,10304.14183769676,Allequash,Epilimnion
11533.3333333333,10365.673892498267,Allequash,Epilimnion
10546.6666666667,9245.099523334491,Allequash,Epilimnion
9100,9044.881596800007,Allequash,Epilimnion
10446.666666666699,8720.949827803373,Allequash,Epilimnion
9990.47619047619,8669.21613213782,Allequash,Epilimnion
8946.666666666672,8197.64217034244,Allequash,Epilimnion
8593.33333333333,7649.099129086274,Allequash,Epilimnion
8400,7961.433854024511,Allequash,Epilimnion
8890.47619047619,8596.946998246145,Allequash,Epilimnion
9161.90476190476,8808.251800256128,Allequash,Epilimnion
9200,9164.557714925972,Allequash,Epilimnion
10400,9071.878785882096,Allequash,Epilimnion
10790.4761904762,10541.02787339259,Allequash,Epilimnion
8838.09523809524,8706.81241885554,Allequash,Epilimnion
9200,8437.90562893893,Allequash,Epilimnion
8300,7822.694883663507,Allequash,Epilimnion
8290.476190476189,7366.944826019101,Allequash,Epilimnion
7833.33333333333,7556.350059296888,Allequash,Epilimnion
8000,7911.387078270985,Allequash,Epilimnion
8847.61904761905,8134.535443586996,Allequash,Epilimnion
8861.904761904761,8285.436192274055,Allequash,Epilimnion
7900,9178.040769183111,Allequash,Epilimnion
10671.4285714286,10727.972566172257,Allequash,Epilimnion
10100,9889.230726155944,Allequash,Epilimnion
9693.333333333341,8578.681496448642,Allequash,Epilimnion
8800,8832.950555214125,Allequash,Epilimnion
8452.38095238095,8252.741459583815,Allequash,Epilimnion
8361.904761904761,7954.8775193233105,Allequash,Epilimnion
8552.38095238095,8326.654619800982,Allequash,Epilimnion
8890.47619047619,8298.147533246694,Allequash,Epilimnion
8700,7942.10941256837,Allequash,Epilimnion
9469.23076923077,8425.663834519019,Allequash,Epilimnion
8500,8502.081492778107,Allequash,Epilimnion
10466.6666666667,10884.43462816703,Allequash,Epilimnion
11100,10031.491828626924,Allequash,Epilimnion
8828.57142857143,9295.60521183976,Allequash,Epilimnion
9746.66666666667,8445.262706432186,Allequash,Epilimnion
9452.38095238095,8544.29407284541,Allequash,Epilimnion
8538.09523809524,8107.107241305629,Allequash,Epilimnion
8300,7405.733091361115,Allequash,Epilimnion
8500,7914.11860929604,Allequash,Epilimnion
9780,8157.450328312883,Allequash,Epilimnion
9771.42857142857,8272.091583800378,Allequash,Epilimnion
9528.57142857143,8051.196200842721,Allequash,Epilimnion
7533.333333333329,9031.023127932956,Allequash,Epilimnion
10246.6666666667,10113.057066585863,Allequash,Epilimnion
9900,10099.98543429821,Allequash,Epilimnion
